央视,#genre#
金鹰纪实,rtsp://220.200.30.136/PLTV/88888909/224/3221225682/10000100000000060000000000390143_0.smil
乐游纪实,http://222.209.208.234:7088/rtp/239.93.42.94:5140
欢笑剧场,http://222.209.208.234:7088/rtp/239.93.0.145:5140
都市剧场,http://222.209.208.234:7088/rtp/239.93.42.30:5140
生活时尚,http://222.209.208.234:7088/rtp/239.93.42.29:5140
动漫秀场,http://222.209.208.234:7088/rtp/239.93.42.93:5140
法治天地,http://222.209.208.234:7088/rtp/239.93.42.96:5140
金色学堂,http://222.209.208.234:7088/rtp/239.93.42.95:5140
游戏风云,http://itv.serverzt.cn:10000/rtp/239.111.205.4:5140
新动漫,http://prettyalan.vicp.cc:8888/udp/239.61.4.173:1025
中国气象,rtsp://112.111.36.140/PLTV/88888909/224/3221225805/10000100000000060000000001551139_0.smil
财富天下,rtsp://220.200.30.136/PLTV/88888909/224/3221225704/10000100000000060000000000391508_0.smil
嘉佳卡通,rtsp://220.200.30.136/PLTV/88888909/224/3221225708/10000100000000060000000000400919_0.smil
金鹰卡通,rtsp://220.200.30.136/PLTV/88888909/224/3221225709/10000100000000060000000000400938_0.smil
卡酷卡通,rtsp://112.111.36.140/PLTV/88888909/224/3221225710/10000100000000060000000000400947_0.smil
哈哈炫动,rtsp://220.200.30.136/PLTV/88888909/224/3221225806/10000100000000060000000001551324_0.smil
爱上4K,rtsp://220.200.30.136/PLTV/88888909/224/3221225965/10000100000000060000000003176328_0.smil
百事通,rtsp://112.111.36.140/PLTV/88888909/224/3221225814/10000100000000060000000001577927_0.smil

福建,#genre#
福建综合,rtsp://112.111.36.140/PLTV/88888909/224/3221225772/10000100000000060000000001418882_0.smil
福建文体,rtsp://112.111.36.140/PLTV/88888909/224/3221225780/10000100000000060000000001424371_0.smil
福建公共,rtsp://112.111.36.140/PLTV/88888909/224/3221225775/10000100000000060000000001423348_0.smil
福建新闻,rtsp://220.200.30.136/PLTV/88888909/224/3221225776/10000100000000060000000001424177_0.smil
福建电视剧,rtsp://112.111.36.140/PLTV/88888909/224/3221225777/10000100000000060000000001424229_0.smil
福建旅游,rtsp://112.111.36.140/PLTV/88888909/224/3221225778/10000100000000060000000001424299_0.smil
福建经济,rtsp://112.111.36.140/PLTV/88888909/224/3221225779/10000100000000060000000001424334_0.smil
福建少儿,rtsp://112.111.36.140/PLTV/88888909/224/3221225786/10000100000000060000000001426129_0.smil
福建教育,rtsp://112.111.36.140/PLTV/88888909/224/3221225822/10000100000000060000000001619264_0.smil
莆田-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225841/10000100000000060000000002473202_0.smil
莆田-2,http://192.168.3.1:5678/pttv.php?id=pttv2
泉州-1,rtmp://live.qztv.cn/live/news
泉州-4,rtmp://live.qztv.cn/live/mny
福州-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225836/10000100000000060000000002365466_0.smil
厦门-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225837/10000100000000060000000002441431_0.smil
龙岩-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225842/10000100000000060000000002473437_0.smil
宁德-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225840/10000100000000060000000002442816_0.smil
漳州-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225839/10000100000000060000000002442645_0.smil
南平-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225843/10000100000000060000000002473546_0.smil
三明-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225844/10000100000000060000000002473617_0.smil
平潭-1,rtsp://220.200.30.136/PLTV/88888909/224/3221225973/10000100000000060000000003881064_0.smil

港台,#genre#
凤凰资讯,http://222.209.208.234:7088/rtp/239.93.0.118:2191
凤凰中文,http://222.209.208.234:7088/rtp/239.93.0.162:2192
