📡央视频道,#genre#
贵州卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225974/10000100000000060000000003964019_0.smil
安徽卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225685/10000100000000060000000000390210_0.smil
天津卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225690/10000100000000060000000000390378_0.smil
四川卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225715/10000100000000060000000000401042_0.smil
江西卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225716/10000100000000060000000000401043_0.smil
辽宁卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225684/10000100000000060000000000390192_0.smil
重庆卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225713/10000100000000060000000000401010_0.smil
云南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225752/10000100000000060000000000428648_0.smil
河南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225725/10000100000000060000000000401166_0.smil
海南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225711/10000100000000060000000000400978_0.smil
广西卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225712/10000100000000060000000000400979_0.smil
陕西卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225724/10000100000000060000000000401165_0.smil
青海卫视,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225719/10000100000000060000000000401068_0.smil
宁夏卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225726/10000100000000060000000000401167_0.smil
吉林卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225717/10000100000000060000000000401066_0.smil
山西卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225721/10000100000000060000000000401102_0.smil
甘肃卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225718/10000100000000060000000000401067_0.smil
内蒙古卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225720/10000100000000060000000000401101_0.smil
新疆卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225723/10000100000000060000000000401133_0.smil
兵团卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225707/10000100000000060000000000391858_0.smil
西藏卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225722/10000100000000060000000000401132_0.smil
大湾区卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225781/10000100000000060000000001425242_0.smil
三沙卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225804/10000100000000060000000001515181_0.smil

📡其他频道,#genre#
金鹰纪实,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225682/10000100000000060000000000390143_0.smil
CETV1,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225976/10000100000000060000000004308955_0.smil
CETV2,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225747/10000100000000060000000000403955_0.smil
CETV4,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225748/10000100000000060000000000403956_0.smil
纪实人文,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225683/10000100000000060000000000390171_0.smil
中国天气,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225805/10000100000000060000000001551139_0.smil
山东教育卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225705/10000100000000060000000000391773_0.smil
财富天下,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225704/10000100000000060000000000391508_0.smil
欢笑剧场4K,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225770/10000100000000060000000001418465_0.smil
都市剧场,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225771/10000100000000060000000001418795_0.smil
金鹰卡通,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225709/10000100000000060000000000400938_0.smil
BRTV KAKU少儿,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225710/10000100000000060000000000400947_0.smil
哈哈炫动,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225806/10000100000000060000000001551324_0.smil
动漫秀场,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225773/10000100000000060000000001423252_0.smil
嘉佳卡通,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225708/10000100000000060000000000400919_0.smil
游戏风云,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225785/10000100000000060000000001425778_0.smil
乐游,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225791/10000100000000060000000001506715_0.smil
法治天地,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225797/10000100000000060000000001507003_0.smil
东方财经,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225971/10000100000000060000000003359741_0.smil
金色学堂,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225810/10000100000000060000000001552917_0.smil
生活时尚,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225807/10000100000000060000000001551440_0.smil
