广电,#genre#
欢笑剧场,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227145/index.m3u8?servicetype=1
游戏风云,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227075/index.m3u8?servicetype=1
生活时尚,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227091/index.m3u8?servicetype=1
都市剧场,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227204/index.m3u8?servicetype=1
中国天气,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227210/index.m3u8?servicetype=1
黑莓动画,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225878/index.m3u8?servicetype=1
黑莓电影,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225891/index.m3u8?servicetype=1
东方财经,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227087/index.m3u8?servicetype=1
法治天地,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227176/index.m3u8?servicetype=1
金色学堂,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227208/index.m3u8?servicetype=1
第一财经,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226987/index.m3u8?servicetype=1
先锋乒羽,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226851/index.m3u8?servicetype=1
茶频道,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226859/index.m3u8?servicetype=1
金鹰卡通,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225870/index.m3u8?servicetype=1
超级体育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226895/index.m3u8?servicetype=1
芒果TV,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1
纯享4K,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1
凤凰中文,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰资讯,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
福建综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227149/index.m3u8?servicetype=1
福建公共,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8?servicetype=1
